,synonyms,analysis
415,"Синонимы:Анализ крови на антитела к гистонам, IgG; АТ к гистонам, IgG; Антитела против гистонов.","Антитела к гистонам (Histone), IgG (Anti-Histone autoantibodies, IgG)"
416,Синонимы:Анализ крови на антитела к экстрагируемым ядерным антигенам RNP/Sm; Антитела к антигенам RNP/Sm; Антитела при СКВ (системной красной волчанке); Антитела к антигенам RNP/Sm; Anti-RNP/Sm антитела.,"Антитела к экстрагируемым ядерным антигенам RNP/Sm, IgG (Anti-RNP/Sm autoantibodies, IgG)"
417,Синонимы:Анализ крови на антитела к экстрагируемому ядерному антигену Sm; Антитела при СКВ (системной красной волчанке); Anti-Sm антитела.,"Антитела к экстрагируемому ядерному антигену Sm, IgG (Anti-Sm autoantibodies, IgG)"
418,Синонимы:Анализ крови на антицентромерные антитела CENT-B; Специфичные антитела CENT-B; IgG антитела к антигенам CENT-B; Anti-CENT-B антитела.,"Антицентромерные антитела CENT-B, IgG (Anti-Centromere B autoantibodies, IgG)"
419,Синонимы:Анализ крови на антитела к антигенам SS-А 52; IgG антитела к антигенам SS-А 52; Anti- SS-А 52 антитела.,"Антитела к антигену SS-A (52 кДа), IgG (Anti-SS-A-52 autoantibodies, IgG)"
420,Синонимы:Анализ крови на антитела к антигенам SS-А; IgG антитела к антигенам SS-А (Ro); Anti-SS-А (Ro) антитела.,"Антитела к антигенам SS-A (Ro) ((SS-A (52кДа)/SS-A (60 кДа), IgG (Anti-SS-A, IgG (anti-SS-A-52 and anti-SS-A-60 autoantibodies))"
421,Синонимы:Анализ крови на IgG антитела к лимфоцитам; Антитела к лимфоцитам IgG.,"Антитела к лимфоцитам, IgG (Anti-lymphocyte antibodies, IgG)"
422,Синонимы:Анализ крови на аутоантитела к RNP-70; АНА.,Антинуклеарные антитела RNP-70 (Anti-RNP-70 autoantibodies)
423,Синонимы:Анализ крови на ревматоидный фактор; Ревмофактор. Rheumatoid factors (RFs); Rheumatoid Factor Blood Test.,"Ревматоидный фактор (РФ IgM, Rheumatoid Factor, RF)"
424,"Синонимы:Анализ крови на АЦЦП; Анти-ЦЦП-АТ, Анти-ЦЦП, Анти-ССР.","Антитела к циклическому цитруллинированному пептиду (АЦЦП, Cyclic Citrullinated Peptide Antibodies, Anti-CCP, CCP)"
425,Синонимы:Антитела к иммуноглобулинам А Ревмофактор.,"Ревматоидный фактор, IgA (РФ IgA; Rheumatoid Factor, RF, IgA)"
426,"Синонимы:Анализ крови на IgA антитела к протромбину; Антитела класса IgA к протромбину, количественно; Количественное определение IgA антител к протромбину. aPT autoantibodies; aPT-A; IgA-antiprothrombin autoantibodies; Prothrombin antibodies IgA; IgA-antiprothrombin antibodies.","Антитела класса IgA к протромбину, количественно (Anti-prothrombin, aPT, IgA, quantitative)"
427,"Синонимы:Анализ крови на IgG антитела к протромбину; Антитела класса IgG к протромбину, количественно; Количественное определение IgG антител к протромбину. aPT autoantibodies; aPT-G; IgG-antiprothrombin autoantibodies; Prothrombin antibodies IgG; IgG-antiprothrombin antibodies.","Антитела класса IgG к протромбину, количественно (Anti-prothrombin, aPT, IgG, quantitative)"
428,"Синонимы:Анализ крови на IgМ антитела к протромбину; Антитела класса IgМ к протромбину, количественно; Количественное определение IgМ антител к протромбину. aPT autoantibodies; aPT-М; IgМ-antiprothrombin autoantibodies; Prothrombin antibodies IgМ; IgМ-antiprothrombin antibodies.","Антитела класса IgM к протромбину, количественно (Anti-prothrombin, aPT, IgM, quantitative)"
429,Синонимы:Анализ крови на суммарные антитела к протромбину. Anti-Prothrombin Antibodies Total; aPT antibodies.,"Антитела к протромбину, IgG/A/M суммарно, количественный тест (Anti-prothrombin, aPT, IgG/A/M quantitative)"
430,Синонимы:Анализ крови на IgG антитела к бета-2-гликопротеину. Anti-Β2-Glycoprotein 1 Antibodies IgG; Anti-β2-GР1 IgG.,"Антитела к бета-2-гликопротеину, IgG (Anti-beta-2-glycoprotein, IgG)"
431,Синонимы:Анализ крови на IgM антитела к бета-2-гликопротеину. Anti-Β2-Glycoprotein 1 Antibodies IgM; Anti-β2-GР1 IgM.,"Антитела к бета-2-гликопротеину, IgM (Anti-beta-2-glycoprotein, IgM)"
432,Синонимы:Анализ крови на IgА антитела к бета-2-гликопротеину. Anti-Β2-Glycoprotein 1 Antibodies IgА; Anti-β2-GР1 IgА.,"Антитела к бета-2-гликопротеину IgА (Anti-beta-2-glycoprotein, IgА)"
433,Синонимы:Анализ крови на антитела к энтероцитам; Антитела к антигенам энтероцитов. Enterocyte Autoantibodies; EABG.,"Антитела к энтероцитам,  IgG (Anti-enterocyte autoantibodies,  IgG)"
434,"Синонимы:Анализ крови на антитела к деамидированным пептидам глиадина, IgG.","Антитела к деамидированным пептидам глиадина, IgG (Deamidated Gliadin Peptide (DGP) Antibodies, IgG)."
435,"Синонимы:Анализ крови на антитела к деамидированным пептидам глиадина, IgA.","Антитела к деамидированным пептидам глиадина, IgA (Deamidated Gliadin Peptide (DGP) Antibodies, IgA)."
436,Синонимы:Анализ крови на антитела к ретикулину; Антиретикулиновые антитела.,"Антитела к ретикулину IgA и IgG (Reticulin Antibody IgA&IgG, ARA)"
437,Синонимы:Анализ крови на аутоантитела к эндомизию; Иммуноглобулины класса G антиэндомизийные антитела; АЭМА.,"Антитела к эндомизию IgG (Anti-Endomisial Antibodies, IgG, EMA)"
438,Синонимы:Антитела к трансглутаминазе; Иммуноглобулины класса A.,"Антитела класса IgА к тканевой трансглютаминазе (anti- tissue transglutaminase IgА, tTG)"
439,Синонимы:Анализ крови на антитела класса IgG к тканевой трансглутаминазе.,"Антитела класса IgG к тканевой трансглютаминазе (anti-tissue transglutaminase IgG, tTG IgG)"
440,Синонимы:Аутоантитела к эндомизию; Иммуноглобулины класса А; Антиэндомизийные антитела; АЭМА.,"Антитела к эндомизию, IgA (Anti-Endomysial Antibodies, EMA, IgA)"
441,Синонимы:Анализ кала на кальпротектин; Фекальный кальпротектин; Белок нейтрофилов; Маркер кишечного воспаления. Calprotectin; CALPRO; Stool Calprotectin; Calprotectin in human faeces.,Кальпротектин фекальный (Fecal Calprotectin)
442,Синонимы:Анализ ликвора на определение антинейрональных антител; Антитейрональные антитела в СМЖ; Антинейрональные антитела в спинномозговой жидкости; Антитейрональные антитела в цереброспинальной жидкости. Neuronal antibodies in cerebrospinal fluid; Anti-neuronal antibodies.,"Определение антинейрональных антител, ликвор (Neuronal antibodies, CSF)"
443,Синонимы:Анализ кров на АПФ; Дипептидилкарбоксипептидаза I; Кининаза II; CD143; Dipeptidyl Carboxypeptidase I; Kininase II; Peptidase P.,"Активность ангиотензин-превращающего фермента сыворотки (АПФ, Angiotensin Converting Enzyme, serum; ACE)"
444,Синонимы:Анализ крови на альфа-фетопротеин.,"Альфа-фетопротеин (АФП, alfa-Fetoprotein)"
445,Синонимы:Анализ крови на ПСА общий; Простат-специфический антиген общий.,"ПСА общий (Простатический специфический антиген общий, Prostate-specific antigen total, PSA total)"
446,Синонимы: Анализ крови на РЭА; Раковый эмбриональный антиген.,"Раково-эмбриональный антиген (РЭА, карциноэмбриональный антиген, Carcinoembryonic antigen, CEA)"
447,Синонимы:Анализ крови на СА 15-3; Углеводный антиген 15-3; Раковый антиген СА 15-3. Carbohydrate Antigen 15-3.,"CA 15-­3 (Антиген раковый 15­-3, Cancer Antigen 15­-3)"
448,"Синонимы:Анализ крови на СА-125; Углеводный антиген-125; Опухолевый антиген CA 125; Раковый антиген СА 125; Онкомаркер рака яичников. CA-125 tumor marker, Cancer Antigen – 125; Carbohydrate antigen CA 125, MUC16.","CA-125 (Антиген раковый 125, Cancer Antigen 125)"
449,Синонимы:Анализ крови на СА 19-9; Углеводный антиген 19-9; Раковый антиген СА 19-9. Ca 19-9; СА 19-9; Cancer Antigen 19-9; Carbohydrate Antigen 19-9; Gastrointestinal Cancer Antigen.,"CA 19­-9 (Углеводный антиген CA 19-­9, Carbohydrate Antigen 19-­9, Cancer Antigen 19­-9)"
450,Синонимы:Цитокератиновый фрагмент; Растворимые фрагменты цитокератина 19; Фрагмент цитокератина 19; онкомаркер Cyfra 21-1.,Cyfra-21-1 (Фрагмент Цитокератина 19)
451,Синонимы:Анализ крови на нейронспецифическую энолазу. Neuron specific enolase.,"Нейронспецифическая энолаза (NSE, Neuron-Specific Enolase)"
452,Синонимы:Анализ крови на белок S100.,Белок S100 (S100 Protein)
453,Синонимы:Анализ крови на хромогранин А; ХгА. Chromogranin A; CgA; Serum Chromogranin A.,"Хромогранин А (Chromogranin A, CgA)"
454,Синонимы:Анализ на антиген плоскоклеточной карциномы; Антиген плоскоклеточного рака; Опухоль ассоциированный маркер SCCА; Маркер опухоли из плоского эпителия; Маркер плоскоклеточного рака. Tumor-associatedantigen-4; ТА-4.,"Антиген плоскоклеточной карциномы (Squamous Cell Carcinoma Antigen, SCC, SCCA, SCC Ag)"
455,Синонимы:Анализ крови на СА-242; Углеводный антиген 242; Раковый антиген СА 242. Cancer Antigen 242; Carbohydrate Antigen 242.,"CA-242 (Углеводный антиген СА-242, опухолевый маркёр CA-242, Cancer Antigen 242, CA 242)"
456,Синонимы:Анализ крови на НЕ4; Человеческий эпидидимальный протеин 4; Человеческий эпидидимальный секреторный белок 4; Human epididymis protein 4.,"HE4 (Белок 4 эпидидимиса человека, Human Epididymis Protein 4)"
457,"Синонимы:Анализ крови для оценки риска рака яичников. ROMA Score (Ovarian Malignancy Risk Algorithm), Serum.","Оценка риска рака яичников по алгоритму ROMA (Risk of Ovarian Malignancy Algorithm, алгоритм расчета риска эпителиального рака яичников)"
458,Синонимы:Анализ крови на СА 72-4; Углеводный антиген 72-4; Раковый антиген СА 72-4.,"CA 72­-4 (Углеводный антиген 72-­4, Carbohydrate Antigen 72-­4, CA 72­-4)"
459,Синонимы: Ковид-19; Новая коронавирусная инфекция; РНК нового коронавируса; РНК SARS-CoV-2 в мазке со слизистой носоглотки и/или ротоглотки.,"ПЦР-тест на коронавирус SARS-CoV-2, мазок (PCR, Coronavirus SARS-CoV-2, nasopharyngeal and oropharyngeal smear)"
460,"Синонимы:Анализ крови для количественного определения IgG-антител к спайковому (S) белку SARS-CoV-2; Количественное определение IgG антител к RBD домену S-белка SARS-CoV-2; IgG Антитела к коронавирусу SARS-CoV-2, включая нейтрализующие IgG; Тест на IgG антитела к спайковому (S) белку коронавируса; Антитела к рецептор-связывающему домену вируса, вызывающего COVID-19, Иммунитет к коронавирусу SARS-CoV-2; Антитела класса G к SARS-CoV-2 RBD; Анти-RBD антитела класса G.","Антитела, количественные, к спайковому (S) белку (RBD) SARS-CoV-2, IgG (Anti-SARS-CoV-2, spike (S) protein (RBD), IgG, quantitative)"
461,Синонимы:Мазок из носо- и ротоглотки для определения антигена SARS-CoV-2; Выявление антигена SARS-CoV-2 в мазках носоглотки или ротоглотки (качественно); Качественное определение антигена коронавируса SARS-CoV-2 в мазках со слизистой оболочки рото-/носоглотки.,"Экспресс-тест. Антиген SARS-CoV-2 в мазке из рото- или носоглотки, «ИМБИАН», качественный (SARS-CoV-2 antigen express test, nasopharyngeal or oropharyngeal smear, qualitative)"
462,Синонимы:Анализ крови на антитела IgG количественные к S-белку SARS-CoV-2.,"Антитела, количественные, к спайковому (S) белку (RBD) SARS-CoV-2, IgG (с выдачей специального бланка результата для выезжающих в Израиль) (Anti-SARS-CoV-2, spike (S) protein, IgG, quantitative (special result form for those traveling to Israel))"
463,"Синонимы:Анализ крови на антитела к SARS-CoV-2 (S-белку, включая RBD), IgG, количественное определение; Антитела класса G к SARS-CoV-2 (S-белку и RBD), количественно. Anti-SARS-CoV-2 (S protein, including RBD), IgG, quantitative; Anti-SARS-CoV-2, spike (S) protein (RBD), IgG, quantitative.","Антитела, количественные, к спайковому (S) белку SARS-CoV-2, IgG  (Anti-SARS-CoV-2, spike (S) protein, IgG, quantitative)"
464,Синонимы:Выявление IgG к спайковому (S) белку SARS-CoV-2 (качественный анализ) после COVID-19 и для оценки эффективности вакцинации (вакцинным препаратом на основе RBD-домена,"Антитела, качественные, к спайковому (S) белку SARS-CoV-2, IgG;.  (Аnti-SARS-CoV-2 S (spike) protein antibody, IgG, qualitative)"
465,"Для проведения исследования в медицинских офисах Москвы необходимо предъявить СНИЛС и документ удостоверяющий личность.Синонимы: IgM антитела к вирусу, вызывающему COVID-19; Иммуноглобулины класса М к антигенам вируса SARS-CoV-2; Качественный анализ на антитела класса М (IgМ) к SARS-CoV-2.","Антитела, качественные, к спайковому (S) белку SARS-CoV-2, IgM; (Anti-SARS-CoV-2, S (spike) protein, qualitative, IgM)"
466,"Синонимы:Ковид-19; Новая коронавирусная инфекция; РНК нового коронавируса; РНК SARS-CoV-2 в мазке со слизистой носа, носоглотки и/или ротоглотки.","Экспресс-тест, ПЦР, РНК вируса SARS-CoV-2, мазок (PCR, SARS-CoV-2, RNA, nasopharyngeal and oropharyngeal smear)"
467,Синонимы:Анализ мазка из носоглотки на антиген к новому коронавирусу; Мазок из носоглотки для качественного определения антигена SARS-CoV-2; Выявление антигена SARS-CoV-2 в мазках носоглотки (качественно); Качественное определение антигена к коронавирусу SARS-CoV-2 в мазках со слизистой носоглотки; Антиген вируса SARS-CoV-2 в биоматериале мазка из носоглотки.,"Экспресс-тест. Антиген SARS-CoV-2 в мазке из носоглотки, качественное определение (SARS-CoV-2 antigen, qualitative)"
468,Синонимы:Анализ мочи на алюминий.,"Алюминий, моча (Aluminum, urine; Al)"
469,Синонимы:Анализ на алюминий в ногтях; Анализ ногтей на алюминий; Алюминий в ногтях.,"Алюминий, ногти (Aluminum, nails; Al)"
470,Синонимы:Анализ волос на бериллий; Бериллий в волосах.,"Бериллий, волосы (Beryllium, hair; Be)"
471,Синонимы:Анализ ногтей на бериллий; Бериллий в ногтях.,"Бериллий, ногти (Beryllium, nails; Be)"
472,Синонимы:Анализ волос на бор; Бор в волосах.,"Бор, волосы (Boron, hair; B)"
473,Синонимы:Анализ ногтей на бор; Бор в ногтях.,"Бор, ногти (Boron, nails; B)"
474,Синонимы:Анализ волос на ванадий; Ванадий в волосах.,"Ванадий, волосы (Vanadium, hair; V)"
475,Синонимы:Анализ ногтей на ванадий; Ванадий в ногтях.,"Ванадий, ногти (Vanadium, nails; V)"
476,Синонимы:Анализ волос на висмут; Висмут в волосах.,"Висмут, волосы (Bismuth, hair; Bi)"
477,Синонимы:Анализ ногтей на висмут; Висмут в ногтях.,"Висмут, ногти (Bismuth, nails; Bi)"
478,Синонимы:Анализа крови на йод.,"Йод в сыворотке (Iodine, serum)"
479,Синонимы:Анализ крови на медь.,"Медь, сыворотка (Copper, serum; Cu)"
480,Синонимы:Анализ крови на селен.,"Селен, сыворотка (Selenium, serum; Se)"
481,Синонимы:Анализ крови на цинк; Цинк в сыворотке крови. Serum Zinc; Zinc (Serum) Test; Serum Zinc Test; Zinc Blood Testing.,"Цинк, сыворотка (Zinc, Serum; Zn)"
482,Синонимы:Исследование химического состава почечных камней.,"Анализ химического состава мочевых (почечных) камней методом рентгенофазового анализа (Compositional  Analysis of Urine (Kidney) Stones, Х-ray diffraction analysis)"
483,Синонимы:Анализ желчных камней. Examination of gallstones.,Исследование желчных камней (Gallstones diagnosis)
484,"Синонимы:Клинический анализ мочи; ОАМ. Complete Urinalysis; Urinalysis, Complete With Microscopic Examination; Urinalysis Complete; URN.",Анализ мочи общий (Анализ мочи с микроскопией осадка)
485,Синонимы:Определение количества форменных элементов крови в осадке мочи; Проба Нечипоренко; Исследование мочи методом Нечипоренко.,Исследование мочи по методу Нечипоренко (Nechiporenko Urine Test)
486,Синонимы:Альбумин/креатинин отношение; Нормализованный по креатинину альбумин; Тест на микроальбуминурию; Тест на протеинурию; АКС.,"Альбумин/креатинин-соотношение в разовой порции мочи  (Отношение альбумина к креатинину в разовой порции мочи)  (Albumin-to-creatinine ratio, ACR, random urine)"
487,Синонимы:Анализ суточной мочи на белок; Белок в моче.,Общий белок (суточная моча) (Protein total)
488,Синонимы:Анализ мочи по Сулковичу.,"Кальций мочи, качественный тест (проба Сулковича)"
489,Синонимы:Анализ мочи на белок Бенс-Джонса.,"Белок Бенс-Джонса в моче: иммунофиксация, количественное определение, типирование каппа, лямбда (Bence-Jones Protein: Electrophoresis, Immunofixation, Kappa/Lambda Typing)"
490,Синонимы:Электрофорез белков мочи с определением типа протеинурии.,"Электрофорез белков мочи, определение типа протеинурии (Protein Electrophoresis, Urine)"
491,Синонимы:Количественное исследование аминокислот мочи; Аминоацидурия; Aminoaciduria.,"Аминокислоты мочи, 31 показатель (Amino Acids, Random Urine)"
492,Синонимы:Фосфор в моче (с креатинином).,"Фосфор, разовая порция мочи (с креатинином и расчетом нормализованного по креатинину показателя) (Phosphorus, random urine, with creatinine and phosphorus/creatinine ratio calculation)"
493,Синонимы:Кальций в суточной моче; Ионы кальция.,Кальций (суточная моча) (Calcium)
494,"Синонимы: Общий анализ кала. Stool analysis, Fecal analysis.","Копрограмма (Koprogramma, Stool)"
495,Синонимы:Анализ кала на скрытую кровь.,"Скрытая кровь в кале (колоректальные кровотечения), количественный иммунохимический метод FOB Gold (quantitative immunochemical Fecal Occult Blood Test FOB Gold)"
496,Синонимы:Анализ кала на углеводы; Содержание сахаров в кале; Анализ на содержание углеводов в кале.,"Содержание углеводов в кале (редуцирующие вещества в кале; Stool sugars; Reducing substances, fecal)"
497,Синонимы:Анализ кала на эластазу 1.,"Эластаза 1, панкреатическая эластаза 1 (Elastase 1, E1, Э1)"
498,Синонимы:Определение эозинофильного нейротоксина (EDN) для диагностики пищевой аллергии в стуле; Анализ на эозинофильный нейротоксин (EDN) (кал); Определение эозинофильного нейротоксина (EDN) в кале.,"Эозинофильный нейротоксин в стуле (Fecal Eosinophil derived Neurotoxin; EDN,stool)"
499,Синонимы: Стеатокрит (свободный жир в кале); Определение стеатокрита кала.,Стеатокрит стула (Определение содержания жира в кале методом кислотного стеатокрита; Fecal Fat; Acid Steatocrit)
500,Синонимы: Активность химотрипсина в кале; Активность химотрипсина в стуле.,"Химотрипсин в стуле, активность (Chymotrypsin activity in Stool)"
501,Синонимы: Желчные кислоты в кале.,Общие желчные кислоты в стуле (Fecal Bile Acids)
502,Синонимы:Зонулин в кале; Зонулин фекальный (оценка проницаемости кишечника); Оценка фекального уровня зонулина; Определение зонулина в кале.,"Зонулин фекальный (Zonulin, stool; Fecal zonulin)"
503,Синонимы:Оценка состояния кишечной микробиоты по спектру КЖК кала; Биохимические методы выявления дисбактериоза.,"Короткоцепочечные жирные кислоты в кале (КЖК, кал) (Fecal short-chain fatty acids; fecal SCFA)"
504,Синонимы:Анализ спермы; Анализ эякулята.,Спермограмма (Исследование эякулята с оценкой морфологии по Крюгеру)
505,Синонимы:Спермиограмма; Сперматограмма; Анализ спермы; Анализ эякулята. Semen analysis; Semen analysis; Sperm analysis; Sperm count; Seminal fluid analysis.,Спермограмма (Spermogram)
506,Синонимы:Анализ кала на норовирус.,"НОРОВИРУС (Norwalk virus) - диарейный синдром, выявление норовируса геногрупп I и II в кале, иммунохроматография (Norwalk virus GI , GII, One step rapid immunосhromotographic assay, antigen, stool)"
507,"Синонимы:Анализ крови на антитела к ВИЧ­1 и 2 и антиген ВИЧ­1 и 2; ВИЧ-1 p24; ВИЧ-1-антиген, p24-антиген; ВИЧ 1 и 2 антитела и антиген p24/25, ВИЧ тест-системы 4-го поколения; Одновременное качественное определение антигена р24 ВИЧ и антител к антигенам ВИЧ типов 1 и 2.",Антитела к ВИЧ 1 и 2 и антиген ВИЧ 1 и 2 (HIV Ag/Ab Combo)
508,Синонимы:Анализ крови на ВИЧ; РНК ВИЧ в сыворотке крови.,"Вирус иммунодефицита человека типа 1, определение РНК (кач.) в сыворотке крови (Human immunodeficiency virus, RNA, quality, Serum)"
509,Синонимы:Анализ крови на ВИЧ.,"Вирус иммунодефицита человека, тип 1, определение РНК (кол.) в сыворотке крови (Human immunodeficiency virus, HIV-1, RNA, quantitative, Serum)"
510,"Синонимы:Анализ крови на антитела класса IgG к вирусу гепатита А (ВГА, hepatitis A virus, HAV), оценка наличия иммунитета к ВГА.",Anti-HAV-IgG (антитела класса IgG к вирусу гепатита А)
511,"Синонимы:Анализ крови на антитела класса IgМ к вирусу гепатита А (ВГА, hepatitis A virus, HAV).",Anti-HAV-IgM (антитела класса IgM к вирусу гепатита А)
512,Синонимы:Анализ крови на австралийский антиген гепатита В; Поверхностный антиген гепатита В.,"HBsAg, качественный тест (HBs-антиген, поверхностный антиген вируса гепатита B, «австралийский» антиген)"
513,Синонимы:Анализ крови на антитела к HB-core антигену вируса гепатита В; Анти-HBcore-антитела.,Anti-HBс-total (антитела классов IgM и IgG к HB-core антигену вируса гепатита B)
514,"Синонимы:Анализ крови на гепатит В; Вирус гепатита В (ВГВ), качественное определение ДНК; Гепатит В, определение ДНК вируса в сыворотке.","Вирус гепатита В, определение ДНК (HBV-DNA) кач. в сыворотке крови"
515,Синонимы:Анализ крови на гепатит В.,"Вирус гепатита B, определение ДНК (HBV-DNA) кол. в сыворотке крови"
516,Синонимы:Суммарные антитела к вирусу гепатита С; Анти-HCV.,Anti-HCV-total (антитела к антигенам вируса гепатита C)
517,"Синонимы:Анализ крови на гепатит С; Вирус гепатита С (ВГС), качественное определение РНК; РНК вируса гепатита С в крови.","Вирус гепатита С, определение РНК кач. (HCV-RNA, qualitative) в сыворотке крови"
518,Синонимы:Анализ крови на гепатит С.,"Вирус гепатита С: количественное определение РНК вируса и генотипирование (Hepatitis C Virus (HCV) RNA, Quantitative PCR and Genotyping)"
519,"Синонимы:Анализ крови на вирус гепатита С (количественно); Вирус гепатита С (ВГС), количественное определение РНК.","Количественное определение РНК вируса гепатита С методом ПЦР [вирусная нагрузка] (HCV Viral Load, Hepatitis C Virus RNA (Quantitative test)) в сыворотке крови"
520,Синонимы:Анализ крови на гепатит С с определением генотипа.,"Вирус гепатита С: генотипирование по генотипам 1-6 (ВГС, определение генотипов 1-6, HCV Genotyping)"
521,"Синонимы:Анализ крови на гепатит С; Вирус гепатита С (ВГС), качественное определение РНК.","Вирус гепатита С (ВГС), РНК,качественный формат, ультрачувствительный тест (Hepatitis C Virus (HCV) RNA, qualitative, ultrasensitive)"
522,Синонимы:Анализ крови на вирус гепатита D; Вирус дельта-гепатита.,"Вирус гепатита D, определение РНК (HDV-RNA) в сыворотке крови"
523,"Синонимы:Анализ крови на антитела к герпесу 1, 2; IgG антитела к вирусу простого герпеса первого и второго типа; Антитела класса G к ВПГ-1, ВПГ-2.","Антитела класса IgG к вирусу простого герпеса 1-го и 2-го типов (Anti-HSV-1, 2 IgG)"
524,"Синонимы:Анализ крови на антитела к герпесу 1, 2; IgM антитела к вирусу простого герпеса первого и второго типа; Антитела класса M к ВПГ-1, ВПГ-2.","Антитела класса IgМ к вирусу простого герпеса 1 и 2 типов, HSV-1, 2 (Anti-HSV-IgМ)"
525,Синонимы:Анализ крови на IgG антитела к герпесу 1. Anti-HSV antibodies IgG; HSV Type 1-Specific IgG.,"Anti-HSV-1 IgG (Herpes Simplex Virus type 1 IgG antibodies, антитела класса IgG к вирусу простого герпеса 1 типа, ВПГ-1)"
526,Синонимы:Анализ крови на IgG антитела к герпесу 2. Anti-HSV antibodies IgG; HSV Type 2-Specific IgG.,"Anti-HSV-2 IgG (Herpes Simplex Virus type 2 IgG antibodies, антитела класса IgG к вирусу простого герпеса 2 типа, ВПГ-2)"
527,Синонимы:Анализ соскоба эпителиальных клеток ротоглотки на вирус герпеса.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в соскобе эпителиальных клеток ротоглотки"
528,Синонимы:Анализ сыворотки крови на вирус герпеса.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в сыворотке крови"
529,Синонимы:Анализ слюны на вирус герпеса.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в слюне"
530,Синонимы:Анализ соскоба на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в соскобе эпителиальных клеток урогенитального тракта"
531,Синонимы:Анализ выпота на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в выпоте"
532,Синонимы:Анализ соскоба конъюнктивы на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в соскобе эпителиальных клеток конъюнктивы"
533,Синонимы:Анализ соскоба кожи на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в соскобе эпителиальных клеток кожи"
534,Синонимы:Анализ крови на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в крови"
535,Синонимы:Анализ мочи на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в моче"
536,Синонимы:Анализ соскоба из носа на герпес.,"Герпес-вирус человека 1 и 2 типа (вирус простого герпеса 1 и 2 типа), определение ДНК, типирование (Human herpesvirus 1, 2, Herpes simplex virus 1, 2 (HSV-1, HSV-2), DNA)  в соскобе эпителиальных клеток слизистой носа"
0,Синонимы:Анализ крови на антитела к вирусу ветрянки; Ветряная оспа; Вирус герпеса человека 3-го типа; ВГВ-3 типа; Вирус varicellae-zoster; Опоясывающий герпес.,"Антитела класса IgG к вирусу Varicella-Zoster (Varicella-Zoster Virus IgG, anti-VZV IgG, антитела класса IgG к вирусу ветряной оспы и опоясывающего лишая)"
1,Синонимы:Анализ крови на антитела к вирусу ветрянки; Ветряная оспа; Вирус герпеса человека 3-го типа; ВГВ-3 типа; Вирус varicellae-zoster; Опоясывающий герпес.,"Антитела класса IgM к вирусу Varicella-Zoster (Varicella-Zoster Virus IgM, anti-VZV IgM, антитела класса IgM к вирусу ветряной оспы и опоясывающего лишая)"
2,Синонимы:Анализ крови на ветрянку; VZV-инфекция; ДНК вируса Варицелла-Зостер в сыворотке.,"Вирус Varicella-Zoster, определение ДНК в сыворотке крови (Varicella Zoster Virus, DNA, serum)"
3,Синонимы:Анализ крови на антитела к ВЭБ; IgM антитела к капсидному антигену ВЭБ.,"Антитела класса IgM к капсидному антигену вируса Эпштейна-Барр (VCA-IgM, Epstein-Barr Virus Capcid Antigen IgM, EBV VCA-IgM)"
4,Синонимы:Анализ крови на антитела к капсидному антигену вируса Эпштейна-Барр; Антитела IgG к капсидному антигену ВЭБ.,"Антитела класса IgG к капсидному антигену вируса Эпштейна-Барр (Anti-Epstein-Barr viral capsid antigens IgG, EBV VCA IgG)"
5,Синонимы:Анализ крови на антитела к ВЭБ.,"Антитела класса IgG к нуклеарному антигену вируса Эпштейна-Барр (ВЭБ NA IgG, Epstein-Barr Virus Nuclear Antigen IgG, EBNA IgG)"
