,synonyms,analysis
401,специфические иммуноглобулины класса е к аллергенам гороха анализ крови на аллергию к гороху,"горох f12, ige pea f12, ige"
402,специфические иммуноглобулины класса е к аллергенам белой фасоли анализ крови на аллергию к белой фасоли,"фасоль белая f15, ige white bean f15, ige"
403,специфические иммуноглобулины класса е к аллергенам дыни анализ крови на аллергию к дыне,"дыня f87, ige melon f87, ige"
404,специфические иммуноглобулины класса е к аллергенам любистока анализ крови на аллергию на любисток,"любисток f275, ige lovage f275, ige"
405,"антинуклеарные антитела, антинуклеарный фактор анф","антинуклеарные антитела, igg, скрининг, ифа антиядерные антитела, аntinuclear antibodies, anas, eia"
406,"анализ кров на антинуклеарные антитела антиядерные антитела ана нриф antinuclear antibodies ana indirect immunofluorescence assay ifa, hep-2 substrate ana-hep2 fluorescent antinuclear antibody detection fana","антинуклеарный фактор анф, hep-2, титры антинуклеарные антитела методом непрямой иммунофлюоресценции на препаратах hep-2-клеток; ana if, titers"
407,анализ крови на антитела к днк igg антитела к двухцепочечной днк аутоантитела класса g против двуспиральной днк анти-dsdna igg,"антитела класса igg к двуспиральной нативной днк анти-дсднк igg, anti-double-stranded native dna igg antibodies, anti-dsdna igg"
408,"специфичные ана, антитела к экстрагируемым ядерным нуклеарным антигенам, антитела при аутоиммунных заболеваниях соединительной ткани,","иммуноблот антинуклеарных антител antinuclear antibodies sm, rnp/sm, ss-a 60 кда, ss-a 52 кда, ss-b, scl-70, pm-scl, pcna, cenp-b, dsdna, histone, nucleosome, rib p, ama-m2, jo-1"
409,анализ крови на антитела к митохондриям антимитохондриальные igg антитела,"антитела к митохондриям ama-m2, igg anti-ama-m2 autoantibodies, igg"
410,анализ крови на антитела к антигенам ss-а 60 igg антитела к антигенам ss-а 60 anti- ss-а 60 антитела,"антитела к антигену ss-a 60 кда, igg anti-ss-a-60 autoantibodies, igg"
411,анализ крови на антитела к цитоплазматическому антигену jo-1 анти-jo-1,"антитела к цитоплазматическому антигену jo-1, igg anti-jo-1 autoantibodies, igg"
412,анализ крови на антитела к антигенам ss-b igg антитела к антигенам ss-b la anti-ss-b la антитела,"антитела к антигенам ss-b la, igg anti-ss-b autoantibodies, igg"
413,анализ крови на антитела к к антигену scl-70 антисклеродермальные igg антитела анти‑scl‑70,"антитела к антигену scl-70, igg anti-scl-70 autoantibodies, igg"
414,"анализ крови на антитела к рибосомальному белку р, igg антирибосомальные igg антитела igg-антитела к рибосомальному белку р","антитела к рибосомальному белку р rib-p, igg anti-rib-p autoantibodies, igg"
415,"анализ крови на антитела к гистонам, igg ат к гистонам, igg антитела против гистонов","антитела к гистонам histone, igg anti-histone autoantibodies, igg"
416,анализ крови на антитела к экстрагируемым ядерным антигенам rnp/sm антитела к антигенам rnp/sm антитела при скв системной красной волчанке антитела к антигенам rnp/sm anti-rnp/sm антитела,"антитела к экстрагируемым ядерным антигенам rnp/sm, igg anti-rnp/sm autoantibodies, igg"
417,анализ крови на антитела к экстрагируемому ядерному антигену sm антитела при скв системной красной волчанке anti-sm антитела,"антитела к экстрагируемому ядерному антигену sm, igg anti-sm autoantibodies, igg"
418,анализ крови на антицентромерные антитела cent-b специфичные антитела cent-b igg антитела к антигенам cent-b anti-cent-b антитела,"антицентромерные антитела cent-b, igg anti-centromere b autoantibodies, igg"
419,анализ крови на антитела к антигенам ss-а 52 igg антитела к антигенам ss-а 52 anti- ss-а 52 антитела,"антитела к антигену ss-a 52 кда, igg anti-ss-a-52 autoantibodies, igg"
420,анализ крови на антитела к антигенам ss-а igg антитела к антигенам ss-а ro anti-ss-а ro антитела,"антитела к антигенам ss-a ro ss-a 52кда/ss-a 60 кда, igg anti-ss-a, igg anti-ss-a-52 and anti-ss-a-60 autoantibodies"
421,анализ крови на igg антитела к лимфоцитам антитела к лимфоцитам igg,"антитела к лимфоцитам, igg anti-lymphocyte antibodies, igg"
422,анализ крови на аутоантитела к rnp-70 ана,антинуклеарные антитела rnp-70 anti-rnp-70 autoantibodies
423,анализ крови на ревматоидный фактор ревмофактор rheumatoid factors rfs rheumatoid factor blood test,"ревматоидный фактор рф igm, rheumatoid factor, rf"
424,"анализ крови на аццп анти-ццп-ат, анти-ццп, анти-сср","антитела к циклическому цитруллинированному пептиду аццп, cyclic citrullinated peptide antibodies, anti-ccp, ccp"
425,антитела к иммуноглобулинам а ревмофактор,"ревматоидный фактор, iga рф iga; rheumatoid factor, rf, iga"
426,"анализ крови на iga антитела к протромбину антитела класса iga к протромбину, количественно количественное определение iga антител к протромбину apt autoantibodies apt-a iga-antiprothrombin autoantibodies prothrombin antibodies iga iga-antiprothrombin antibodies","антитела класса iga к протромбину, количественно anti-prothrombin, apt, iga, quantitative"
427,"анализ крови на igg антитела к протромбину антитела класса igg к протромбину, количественно количественное определение igg антител к протромбину apt autoantibodies apt-g igg-antiprothrombin autoantibodies prothrombin antibodies igg igg-antiprothrombin antibodies","антитела класса igg к протромбину, количественно anti-prothrombin, apt, igg, quantitative"
428,"анализ крови на igм антитела к протромбину антитела класса igм к протромбину, количественно количественное определение igм антител к протромбину apt autoantibodies apt-м igм-antiprothrombin autoantibodies prothrombin antibodies igм igм-antiprothrombin antibodies","антитела класса igm к протромбину, количественно anti-prothrombin, apt, igm, quantitative"
429,анализ крови на суммарные антитела к протромбину anti-prothrombin antibodies total apt antibodies,"антитела к протромбину, igg/a/m суммарно, количественный тест anti-prothrombin, apt, igg/a/m quantitative"
430,анализ крови на igg антитела к бета-2-гликопротеину anti-β2-glycoprotein 1 antibodies igg anti-β2-gр1 igg,"антитела к бета-2-гликопротеину, igg anti-beta-2-glycoprotein, igg"
431,анализ крови на igm антитела к бета-2-гликопротеину anti-β2-glycoprotein 1 antibodies igm anti-β2-gр1 igm,"антитела к бета-2-гликопротеину, igm anti-beta-2-glycoprotein, igm"
432,анализ крови на igа антитела к бета-2-гликопротеину anti-β2-glycoprotein 1 antibodies igа anti-β2-gр1 igа,"антитела к бета-2-гликопротеину igа anti-beta-2-glycoprotein, igа"
433,анализ крови на антитела к энтероцитам антитела к антигенам энтероцитов enterocyte autoantibodies eabg,"антитела к энтероцитам,  igg anti-enterocyte autoantibodies,  igg"
434,"анализ крови на антитела к деамидированным пептидам глиадина, igg","антитела к деамидированным пептидам глиадина, igg deamidated gliadin peptide dgp antibodies, igg"
435,"анализ крови на антитела к деамидированным пептидам глиадина, iga","антитела к деамидированным пептидам глиадина, iga deamidated gliadin peptide dgp antibodies, iga"
436,анализ крови на антитела к ретикулину антиретикулиновые антитела,"антитела к ретикулину iga и igg reticulin antibody iga&igg, ara"
437,анализ крови на аутоантитела к эндомизию иммуноглобулины класса g антиэндомизийные антитела аэма,"антитела к эндомизию igg anti-endomisial antibodies, igg, ema"
438,антитела к трансглутаминазе иммуноглобулины класса a,"антитела класса igа к тканевой трансглютаминазе anti- tissue transglutaminase igа, ttg"
439,анализ крови на антитела класса igg к тканевой трансглутаминазе,"антитела класса igg к тканевой трансглютаминазе anti-tissue transglutaminase igg, ttg igg"
440,аутоантитела к эндомизию иммуноглобулины класса а антиэндомизийные антитела аэма,"антитела к эндомизию, iga anti-endomysial antibodies, ema, iga"
441,анализ кала на кальпротектин фекальный кальпротектин белок нейтрофилов маркер кишечного воспаления calprotectin calpro stool calprotectin calprotectin in human faeces,кальпротектин фекальный fecal calprotectin
442,анализ ликвора на определение антинейрональных антител антитейрональные антитела в смж антинейрональные антитела в спинномозговой жидкости антитейрональные антитела в цереброспинальной жидкости neuronal antibodies in cerebrospinal fluid anti-neuronal antibodies,"определение антинейрональных антител, ликвор neuronal antibodies, csf"
443,анализ кров на апф дипептидилкарбоксипептидаза i кининаза ii cd143 dipeptidyl carboxypeptidase i kininase ii peptidase p,"активность ангиотензин-превращающего фермента сыворотки апф, angiotensin converting enzyme, serum; ace"
444,анализ крови на альфа-фетопротеин,"альфа-фетопротеин афп, alfa-fetoprotein"
445,анализ крови на пса общий простат-специфический антиген общий,"пса общий простатический специфический антиген общий, prostate-specific antigen total, psa total"
446,анализ крови на рэа раковый эмбриональный антиген,"раково-эмбриональный антиген рэа, карциноэмбриональный антиген, carcinoembryonic antigen, cea"
447,анализ крови на са 15-3 углеводный антиген 15-3 раковый антиген са 15-3 carbohydrate antigen 15-3,"ca 15-­3 антиген раковый 15­-3, cancer antigen 15­-3"
448,"анализ крови на са-125 углеводный антиген-125 опухолевый антиген ca 125 раковый антиген са 125 онкомаркер рака яичников ca-125 tumor marker, cancer antigen – 125 carbohydrate antigen ca 125, muc16","ca-125 антиген раковый 125, cancer antigen 125"
449,анализ крови на са 19-9 углеводный антиген 19-9 раковый антиген са 19-9 ca 19-9 са 19-9 cancer antigen 19-9 carbohydrate antigen 19-9 gastrointestinal cancer antigen,"ca 19­-9 углеводный антиген ca 19-­9, carbohydrate antigen 19-­9, cancer antigen 19­-9"
450,цитокератиновый фрагмент растворимые фрагменты цитокератина 19 фрагмент цитокератина 19 онкомаркер cyfra 21-1,cyfra-21-1 фрагмент цитокератина 19
451,анализ крови на нейронспецифическую энолазу neuron specific enolase,"нейронспецифическая энолаза nse, neuron-specific enolase"
452,анализ крови на белок s100,белок s100 s100 protein
453,анализ крови на хромогранин а хга chromogranin a cga serum chromogranin a,"хромогранин а chromogranin a, cga"
454,анализ на антиген плоскоклеточной карциномы антиген плоскоклеточного рака опухоль ассоциированный маркер sccа маркер опухоли из плоского эпителия маркер плоскоклеточного рака tumor-associatedantigen-4 та-4,"антиген плоскоклеточной карциномы squamous cell carcinoma antigen, scc, scca, scc ag"
455,анализ крови на са-242 углеводный антиген 242 раковый антиген са 242 cancer antigen 242 carbohydrate antigen 242,"ca-242 углеводный антиген са-242, опухолевый маркёр ca-242, cancer antigen 242, ca 242"
456,анализ крови на не4 человеческий эпидидимальный протеин 4 человеческий эпидидимальный секреторный белок 4 human epididymis protein 4,"he4 белок 4 эпидидимиса человека, human epididymis protein 4"
457,"анализ крови для оценки риска рака яичников roma score ovarian malignancy risk algorithm, serum","оценка риска рака яичников по алгоритму roma risk of ovarian malignancy algorithm, алгоритм расчета риска эпителиального рака яичников"
458,анализ крови на са 72-4 углеводный антиген 72-4 раковый антиген са 72-4,"ca 72­-4 углеводный антиген 72-­4, carbohydrate antigen 72-­4, ca 72­-4"
459,ковид-19 новая коронавирусная инфекция рнк нового коронавируса рнк sars-cov-2 в мазке со слизистой носоглотки и/или ротоглотки,"пцр-тест на коронавирус sars-cov-2, мазок pcr, coronavirus sars-cov-2, nasopharyngeal and oropharyngeal smear"
460,"анализ крови для количественного определения igg-антител к спайковому s белку sars-cov-2 количественное определение igg антител к rbd домену s-белка sars-cov-2 igg антитела к коронавирусу sars-cov-2, включая нейтрализующие igg тест на igg антитела к спайковому s белку коронавируса антитела к рецептор-связывающему домену вируса, вызывающего covid-19, иммунитет к коронавирусу sars-cov-2 антитела класса g к sars-cov-2 rbd анти-rbd антитела класса g","антитела, количественные, к спайковому s белку rbd sars-cov-2, igg anti-sars-cov-2, spike s protein rbd, igg, quantitative"
461,мазок из носо- и ротоглотки для определения антигена sars-cov-2 выявление антигена sars-cov-2 в мазках носоглотки или ротоглотки качественно качественное определение антигена коронавируса sars-cov-2 в мазках со слизистой оболочки рото-/носоглотки,"экспресс-тест антиген sars-cov-2 в мазке из рото- или носоглотки, «имбиан», качественный sars-cov-2 antigen express test, nasopharyngeal or oropharyngeal smear, qualitative"
462,анализ крови на антитела igg количественные к s-белку sars-cov-2,"антитела, количественные, к спайковому s белку rbd sars-cov-2, igg с выдачей специального бланка результата для выезжающих в израиль anti-sars-cov-2, spike s protein, igg, quantitative special result form for those traveling to israel"
463,"анализ крови на антитела к sars-cov-2 s-белку, включая rbd, igg, количественное определение антитела класса g к sars-cov-2 s-белку и rbd, количественно anti-sars-cov-2 s protein, including rbd, igg, quantitative anti-sars-cov-2, spike s protein rbd, igg, quantitative","антитела, количественные, к спайковому s белку sars-cov-2, igg  anti-sars-cov-2, spike s protein, igg, quantitative"
464,выявление igg к спайковому s белку sars-cov-2 качественный анализ после covid-19 и для оценки эффективности вакцинации вакцинным препаратом на основе rbd-домена,"антитела, качественные, к спайковому s белку sars-cov-2, igg;  аnti-sars-cov-2 s spike protein antibody, igg, qualitative"
465,"igm антитела к вирусу, вызывающему covid-19 иммуноглобулины класса м к антигенам вируса sars-cov-2 качественный анализ на антитела класса м igм к sars-cov-2","антитела, качественные, к спайковому s белку sars-cov-2, igm; anti-sars-cov-2, s spike protein, qualitative, igm"
466,"ковид-19 новая коронавирусная инфекция рнк нового коронавируса рнк sars-cov-2 в мазке со слизистой носа, носоглотки и/или ротоглотки","экспресс-тест, пцр, рнк вируса sars-cov-2, мазок pcr, sars-cov-2, rna, nasopharyngeal and oropharyngeal smear"
467,анализ мазка из носоглотки на антиген к новому коронавирусу мазок из носоглотки для качественного определения антигена sars-cov-2 выявление антигена sars-cov-2 в мазках носоглотки качественно качественное определение антигена к коронавирусу sars-cov-2 в мазках со слизистой носоглотки антиген вируса sars-cov-2 в биоматериале мазка из носоглотки,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение sars-cov-2 antigen, qualitative"
468,анализ мочи на алюминий,"алюминий, моча aluminum, urine; al"
469,анализ на алюминий в ногтях анализ ногтей на алюминий алюминий в ногтях,"алюминий, ногти aluminum, nails; al"
470,анализ волос на бериллий бериллий в волосах,"бериллий, волосы beryllium, hair; be"
471,анализ ногтей на бериллий бериллий в ногтях,"бериллий, ногти beryllium, nails; be"
472,анализ волос на бор бор в волосах,"бор, волосы boron, hair; b"
473,анализ ногтей на бор бор в ногтях,"бор, ногти boron, nails; b"
474,анализ волос на ванадий ванадий в волосах,"ванадий, волосы vanadium, hair; v"
475,анализ ногтей на ванадий ванадий в ногтях,"ванадий, ногти vanadium, nails; v"
476,анализ волос на висмут висмут в волосах,"висмут, волосы bismuth, hair; bi"
477,анализ ногтей на висмут висмут в ногтях,"висмут, ногти bismuth, nails; bi"
478,анализа крови на йод,"йод в сыворотке iodine, serum"
479,анализ крови на медь,"медь, сыворотка copper, serum; cu"
480,анализ крови на селен,"селен, сыворотка selenium, serum; se"
481,анализ крови на цинк цинк в сыворотке крови serum zinc zinc serum test serum zinc test zinc blood testing,"цинк, сыворотка zinc, serum; zn"
482,исследование химического состава почечных камней,"анализ химического состава мочевых почечных камней методом рентгенофазового анализа compositional  analysis of urine kidney stones, х-ray diffraction analysis"
483,анализ желчных камней examination of gallstones,исследование желчных камней gallstones diagnosis
484,"клинический анализ мочи оам complete urinalysis urinalysis, complete with microscopic examination urinalysis complete urn",анализ мочи общий анализ мочи с микроскопией осадка
485,определение количества форменных элементов крови в осадке мочи проба нечипоренко исследование мочи методом нечипоренко,исследование мочи по методу нечипоренко nechiporenko urine test
486,альбумин/креатинин отношение нормализованный по креатинину альбумин тест на микроальбуминурию тест на протеинурию акс,"альбумин/креатинин-соотношение в разовой порции мочи  отношение альбумина к креатинину в разовой порции мочи  albumin-to-creatinine ratio, acr, random urine"
487,анализ суточной мочи на белок белок в моче,общий белок суточная моча protein total
488,анализ мочи по сулковичу,"кальций мочи, качественный тест проба сулковича"
489,анализ мочи на белок бенс-джонса,"белок бенс-джонса в моче: иммунофиксация, количественное определение, типирование каппа, лямбда bence-jones protein: electrophoresis, immunofixation, kappa/lambda typing"
490,электрофорез белков мочи с определением типа протеинурии,"электрофорез белков мочи, определение типа протеинурии protein electrophoresis, urine"
491,количественное исследование аминокислот мочи аминоацидурия aminoaciduria,"аминокислоты мочи, 31 показатель amino acids, random urine"
492,фосфор в моче с креатинином,"фосфор, разовая порция мочи с креатинином и расчетом нормализованного по креатинину показателя phosphorus, random urine, with creatinine and phosphorus/creatinine ratio calculation"
493,кальций в суточной моче ионы кальция,кальций суточная моча calcium
494,"общий анализ кала stool analysis, fecal analysis","копрограмма koprogramma, stool"
495,анализ кала на скрытую кровь,"скрытая кровь в кале колоректальные кровотечения, количественный иммунохимический метод fob gold quantitative immunochemical fecal occult blood test fob gold"
496,анализ кала на углеводы содержание сахаров в кале анализ на содержание углеводов в кале,"содержание углеводов в кале редуцирующие вещества в кале; stool sugars; reducing substances, fecal"
497,анализ кала на эластазу 1,"эластаза 1, панкреатическая эластаза 1 elastase 1, e1, э1"
498,определение эозинофильного нейротоксина edn для диагностики пищевой аллергии в стуле анализ на эозинофильный нейротоксин edn кал определение эозинофильного нейротоксина edn в кале,"эозинофильный нейротоксин в стуле fecal eosinophil derived neurotoxin; edn,stool"
499,стеатокрит свободный жир в кале определение стеатокрита кала,стеатокрит стула определение содержания жира в кале методом кислотного стеатокрита; fecal fat; acid steatocrit
500,активность химотрипсина в кале активность химотрипсина в стуле,"химотрипсин в стуле, активность chymotrypsin activity in stool"
501,желчные кислоты в кале,общие желчные кислоты в стуле fecal bile acids
502,зонулин в кале зонулин фекальный оценка проницаемости кишечника оценка фекального уровня зонулина определение зонулина в кале,"зонулин фекальный zonulin, stool; fecal zonulin"
503,оценка состояния кишечной микробиоты по спектру кжк кала биохимические методы выявления дисбактериоза,"короткоцепочечные жирные кислоты в кале кжк, кал fecal short-chain fatty acids; fecal scfa"
504,анализ спермы анализ эякулята,спермограмма исследование эякулята с оценкой морфологии по крюгеру
505,спермиограмма сперматограмма анализ спермы анализ эякулята semen analysis semen analysis sperm analysis sperm count seminal fluid analysis,спермограмма spermogram
506,анализ кала на норовирус,"норовирус norwalk virus - диарейный синдром, выявление норовируса геногрупп i и ii в кале, иммунохроматография norwalk virus gi , gii, one step rapid immunосhromotographic assay, antigen, stool"
507,"анализ крови на антитела к вич­1 и 2 и антиген вич­1 и 2 вич-1 p24 вич-1-антиген, p24-антиген вич 1 и 2 антитела и антиген p24/25, вич тест-системы 4-го поколения одновременное качественное определение антигена р24 вич и антител к антигенам вич типов 1 и 2",антитела к вич 1 и 2 и антиген вич 1 и 2 hiv ag/ab combo
508,анализ крови на вич рнк вич в сыворотке крови,"вирус иммунодефицита человека типа 1, определение рнк кач в сыворотке крови human immunodeficiency virus, rna, quality, serum"
509,анализ крови на вич,"вирус иммунодефицита человека, тип 1, определение рнк кол в сыворотке крови human immunodeficiency virus, hiv-1, rna, quantitative, serum"
510,"анализ крови на антитела класса igg к вирусу гепатита а вга, hepatitis a virus, hav, оценка наличия иммунитета к вга",anti-hav-igg антитела класса igg к вирусу гепатита а
511,"анализ крови на антитела класса igм к вирусу гепатита а вга, hepatitis a virus, hav",anti-hav-igm антитела класса igm к вирусу гепатита а
512,анализ крови на австралийский антиген гепатита в поверхностный антиген гепатита в,"hbsag, качественный тест hbs-антиген, поверхностный антиген вируса гепатита b, «австралийский» антиген"
513,анализ крови на антитела к hb-core антигену вируса гепатита в анти-hbcore-антитела,anti-hbс-total антитела классов igm и igg к hb-core антигену вируса гепатита b
514,"анализ крови на гепатит в вирус гепатита в вгв, качественное определение днк гепатит в, определение днк вируса в сыворотке","вирус гепатита в, определение днк hbv-dna кач в сыворотке крови"
515,анализ крови на гепатит в,"вирус гепатита b, определение днк hbv-dna кол в сыворотке крови"
516,суммарные антитела к вирусу гепатита с анти-hcv,anti-hcv-total антитела к антигенам вируса гепатита c
517,"анализ крови на гепатит с вирус гепатита с вгс, качественное определение рнк рнк вируса гепатита с в крови","вирус гепатита с, определение рнк кач hcv-rna, qualitative в сыворотке крови"
518,анализ крови на гепатит с,"вирус гепатита с: количественное определение рнк вируса и генотипирование hepatitis c virus hcv rna, quantitative pcr and genotyping"
519,"анализ крови на вирус гепатита с количественно вирус гепатита с вгс, количественное определение рнк","количественное определение рнк вируса гепатита с методом пцр [вирусная нагрузка] hcv viral load, hepatitis c virus rna quantitative test в сыворотке крови"
520,анализ крови на гепатит с с определением генотипа,"вирус гепатита с: генотипирование по генотипам 1-6 вгс, определение генотипов 1-6, hcv genotyping"
521,"анализ крови на гепатит с вирус гепатита с вгс, качественное определение рнк","вирус гепатита с вгс, рнк,качественный формат, ультрачувствительный тест hepatitis c virus hcv rna, qualitative, ultrasensitive"
522,анализ крови на вирус гепатита d вирус дельта-гепатита,"вирус гепатита d, определение рнк hdv-rna в сыворотке крови"
523,"анализ крови на антитела к герпесу 1, 2 igg антитела к вирусу простого герпеса первого и второго типа антитела класса g к впг-1, впг-2","антитела класса igg к вирусу простого герпеса 1-го и 2-го типов anti-hsv-1, 2 igg"
524,"анализ крови на антитела к герпесу 1, 2 igm антитела к вирусу простого герпеса первого и второго типа антитела класса m к впг-1, впг-2","антитела класса igм к вирусу простого герпеса 1 и 2 типов, hsv-1, 2 anti-hsv-igм"
525,анализ крови на igg антитела к герпесу 1 anti-hsv antibodies igg hsv type 1-specific igg,"anti-hsv-1 igg herpes simplex virus type 1 igg antibodies, антитела класса igg к вирусу простого герпеса 1 типа, впг-1"
526,анализ крови на igg антитела к герпесу 2 anti-hsv antibodies igg hsv type 2-specific igg,"anti-hsv-2 igg herpes simplex virus type 2 igg antibodies, антитела класса igg к вирусу простого герпеса 2 типа, впг-2"
527,анализ соскоба эпителиальных клеток ротоглотки на вирус герпеса,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в соскобе эпителиальных клеток ротоглотки"
528,анализ сыворотки крови на вирус герпеса,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в сыворотке крови"
529,анализ слюны на вирус герпеса,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в слюне"
530,анализ соскоба на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в соскобе эпителиальных клеток урогенитального тракта"
531,анализ выпота на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в выпоте"
532,анализ соскоба конъюнктивы на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в соскобе эпителиальных клеток конъюнктивы"
533,анализ соскоба кожи на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в соскобе эпителиальных клеток кожи"
534,анализ крови на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в крови"
535,анализ мочи на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в моче"
536,анализ соскоба из носа на герпес,"герпес-вирус человека 1 и 2 типа вирус простого герпеса 1 и 2 типа, определение днк, типирование human herpesvirus 1, 2, herpes simplex virus1, 2 hsv-1,hsv-2, dna  в соскобе эпителиальных клеток слизистой носа"
537,анализ крови на антитела к вирусу ветрянки ветряная оспа вирус герпеса человека 3-го типа вгв-3 типа вирус varicellae-zoster опоясывающий герпес,"антитела класса igg к вирусу varicella-zoster varicella-zoster virus igg, anti-vzv igg, антитела класса igg к вирусу ветряной оспы и опоясывающего лишая"
538,анализ крови на антитела к вирусу ветрянки ветряная оспа вирус герпеса человека 3-го типа вгв-3 типа вирус varicellae-zoster опоясывающий герпес,"антитела класса igm к вирусу varicella-zoster varicella-zoster virus igm, anti-vzv igm, антитела класса igm к вирусу ветряной оспы и опоясывающего лишая"
539,анализ крови на ветрянку vzv-инфекция днк вируса варицелла-зостер в сыворотке,"вирус varicella-zoster, определение днк в сыворотке крови varicella zoster virus, dna, serum"
540,анализ крови на антитела к вэб igm антитела к капсидному антигену вэб,"антитела класса igm к капсидному антигену вируса эпштейна-барр vca-igm, epstein-barr virus capcid antigen igm, ebv vca-igm"
541,анализ крови на антитела к капсидному антигену вируса эпштейна-барр антитела igg к капсидному антигену вэб,"антитела класса igg к капсидному антигену вируса эпштейна-барр anti-epstein-barr viral capsid antigens igg, ebv vca igg"
542,анализ крови на антитела к вэб,"антитела класса igg к нуклеарному антигену вируса эпштейна-барр вэб na igg, epstein-barr virus nuclear antigen igg, ebna igg"
543,"анализ крови на антитела к антигену вэб вирус эпштейна-барр, инфекционный мононуклеоз","антитела класса igg к раннему антигену вируса эпштейна-барр анти-вэб ea-d igg; epstein-barr virus antibody to early d antigen ea-d, igg; anti-ebv ea-d igg"
544,урогенитальный соскоб на вирус эпштейна-барр,"вирус эпштейна-барр, определение днк epstein barr virus, dna в соскобе эпителиальных клеток урогенитального тракта"
545,анализ слюны на вирус эпштейна-барр инфекционный мононуклеоз,"вирус эпштейна-барр, определение днк epstein barr virus, dna в слюне"
546,анализ крови на вэб количественное определение днк вэб в сыворотке методом пцр,"вирус эпштейна-барр, количественное определение днк в сыворотке крови epstein-barr virus, ebv, quantitative"
547,анализ крови на антитела к цитомегаловирусу ат-цмв-igg цитомегаловирусная инфекция цмв-инфекция специфические иммуноглобулины класса g к цитомегаловирусу,"anti-cmv-igg антитела класса igg к цитомегаловирусу, цмв, cmv"
548,анализ крови на антитела к цитомегаловирусу ат-цмв-igм цитомегаловирусная инфекция цмв-инфекция специфические иммуноглобулины класса м к цитомегаловирусу,"anti-cmv-igm антитела класса igm к цитомегаловирусу, цмв, cmv"
549,"мазок на цитомегаловирус цитомегаловирус, определение днк в соскобе эпителиальных клеток урогенитального тракта","цитомегаловирус, определение днк cytomegalovirus, dna в соскобе эпителиальных клеток урогенитального тракта"
550,анализ секрета простаты и эякулята на цитомегаловирус пцр-анализ на цмв определение днк цитомегаловируса в секрете простаты и эякуляте,"цитомегаловирус, определение днк cytomegalovirus, dna в секрете простаты, эякуляте"
551,анализ спинномозговой жидкости на цитомегаловирус пцр-анализ на цмв определение днк цитомегаловируса в спинномозговой жидкости,"цитомегаловирус, определение днк cytomegalovirus, dna в спинномозговой жидкости"
552,анализ слюны на цитомегаловирус,"цитомегаловирус, определение днк cytomegalovirus, dna в слюне"
553,"анализ крови на цитомегаловирус цмв, днк, пцр","цитомегаловирус, определение днк cytomegalovirus, dna в сыворотке крови"
554,соскоб на цитомегаловирус,"цитомегаловирус, определение днк, cytomegalovirus, dna в соскобе эпителиальных клеток ротоглотки"
